City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Walvis Bay,NA,-22.9575,14.5053,55.09,93,5,9.22,clear sky
80,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,6.91,scattered clouds
81,Prince Rupert,CA,54.3161,-130.3201,60.89,84,75,10.36,broken clouds
82,Ariano Irpino,IT,41.1489,15.0833,72.45,71,0,2.62,clear sky
83,Castro,BR,-24.7911,-50.0119,66.67,58,1,5.17,clear sky
84,Fort Nelson,CA,58.8053,-122.7002,69.39,46,20,5.75,few clouds
85,Tombouctou,ML,20.0,-3.0,104.31,18,92,15.39,overcast clouds
86,Sept-Iles,CA,50.2001,-66.3821,77.43,35,20,10.36,few clouds
87,Port-Cartier,CA,50.0334,-66.8654,77.11,38,7,5.57,clear sky
88,Atuona,PF,-9.8,-139.0333,77.22,69,79,11.99,broken clouds
89,California City,US,35.1258,-117.9859,90.1,47,20,4.61,few clouds
90,Altay,CN,47.8667,88.1167,60.51,45,15,4.68,few clouds
91,Kaitangata,NZ,-46.2817,169.8464,46.63,91,100,3.22,overcast clouds
92,Avera,US,33.194,-82.5271,95.56,34,80,4.63,broken clouds
93,Eyl,SO,7.9803,49.8164,76.66,76,0,27.54,clear sky
94,Karlstad,SE,59.3793,13.5036,59.56,77,75,11.5,broken clouds
95,Tasiilaq,GL,65.6145,-37.6368,53.76,74,24,3.65,few clouds
96,Lasa,IT,46.6166,10.7002,68.88,87,37,4.5,scattered clouds
97,Belmopan,BZ,17.25,-88.7667,91.78,58,36,7.83,scattered clouds
98,Yellowknife,CA,62.456,-114.3525,66.72,37,75,0.0,broken clouds
99,Abu Samrah,SY,35.3029,37.1841,87.39,30,0,8.99,clear sky
100,Ilulissat,GL,69.2167,-51.1,46.42,87,75,2.3,light intensity shower rain
101,Salaga,GH,8.5508,-0.5188,77.77,71,99,4.34,overcast clouds
102,Talnakh,RU,69.4865,88.3972,52.21,95,43,4.61,scattered clouds
103,Victoria,HK,22.2855,114.1577,81.32,92,94,8.01,overcast clouds
104,Cabo San Lucas,MX,22.8909,-109.9124,97.61,43,0,10.36,clear sky
105,Petrolina,BR,-9.3986,-40.5008,89.65,37,40,13.8,scattered clouds
106,Gizo,SB,-8.103,156.8419,81.21,69,55,2.89,broken clouds
107,Hasaki,JP,35.7333,140.8333,72.28,77,100,9.33,overcast clouds
108,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,75,11.5,broken clouds
109,Kedrovyy,RU,56.1667,91.8167,52.21,92,74,2.68,broken clouds
110,Krasnoturansk,RU,54.3186,91.5639,54.88,65,99,0.31,overcast clouds
