City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,Vao,NC,71.56,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
517,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
518,Ust-Nera,RU,63.34,overcast clouds,64.5667,143.2,Hotel Ust-Nera
519,Lunglei,IN,69.48,overcast clouds,22.8833,92.7333,Hotel Elite
524,Scharnstein,AT,78.03,moderate rain,47.9044,13.9601,Pfingstmann Franz u Manuela
528,Huarmey,PE,66.63,overcast clouds,-10.0681,-78.1522,Hotel Miramar
529,Domoni,KM,73.62,clear sky,-12.2569,44.5319,Al Djadid
530,Djambala,CG,77.05,broken clouds,-2.5447,14.7533,Hotel Ravin D'or
532,Long Xuyen,VN,76.95,overcast clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
534,Yambio,SS,68.38,light rain,4.5721,28.3955,Naivasha Hotel
535,Fontem,CM,65.68,moderate rain,5.4685,9.8818,Vista Palace Hotel
537,Chicama,PE,61.34,broken clouds,-7.8447,-79.1469,Balihai Bungalows
544,Bereda,ES,63.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
545,Cotonou,BJ,75.18,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
548,Staraya,RU,76.75,broken clouds,59.9281,30.6206,ПетроСпорт Отель
549,Abidjan,CI,76.96,few clouds,5.3094,-4.0197,ibis Abidjan Plateau
551,Wewak,PG,76.95,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
553,Usinsk,RU,60.78,overcast clouds,65.9939,57.5281,Dobro Pozhalovaty
556,Northam,GB,61.61,overcast clouds,51.0333,-4.2167,Durrant House Hotel
558,Temascalcingo,MX,71.37,broken clouds,19.9167,-100.0,Casa Garduño de Temascalcingo
560,Mancio Lima,BR,73.47,thunderstorm with rain,-7.6142,-72.8958,Motel Asas Do Desejo
561,Kayunga,UG,69.66,overcast clouds,0.7025,32.8886,Flamingo Hotel
565,Weyburn,CA,75.42,clear sky,49.6668,-103.8511,Perfect Inns & Suites
574,Santa Cruz De Tenerife,ES,78.91,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
575,Belmonte,BR,75.43,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
577,Saiha,IN,72.79,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
579,Dongli,CN,78.78,few clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
580,Jijiga,ET,67.35,few clouds,9.35,42.8,RAMAAS HOTEL
581,Umba,RU,60.08,moderate rain,66.6871,34.3429,Cedar Grass Beloye More
582,Shimoda,JP,70.11,light rain,34.6667,138.95,Shimoda Tokyu Hotel
585,Aljezur,PT,64.71,few clouds,37.3191,-8.8033,Amazigh Hostel
586,Salihli,TR,79.12,clear sky,38.4826,28.1477,Ozcelik Hotel
588,Hanyang,CN,73.0,clear sky,32.1371,105.5126,Forestry Hostel
591,Ferrol,ES,68.52,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
592,Stulovo,RU,64.18,scattered clouds,58.7225,50.1439,Victoria Village
593,Pokrovskoye,RU,73.71,broken clouds,47.4157,38.8971,Тихий уголок
594,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
599,Mahajanga,MG,71.55,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
602,Sibolga,ID,76.87,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
609,Balkhash,KZ,74.12,broken clouds,46.844,74.9804,Family
610,Aku,NG,72.81,broken clouds,6.7081,7.3167,Diewa Hotel And Resort
611,Zarubino,RU,71.47,broken clouds,42.63,131.0922,Okean
613,Hobyo,SO,76.26,broken clouds,5.3505,48.5268,Iftin hotel hobyo
614,Voru,EE,68.2,clear sky,57.8339,27.0194,Kubija hotell-loodusspaa
615,Kibuye,RW,67.46,scattered clouds,-2.0597,29.3482,Rebero Kivu Resort
618,Coffs Harbour,AU,60.76,overcast clouds,-30.3,153.1333,Aquajet Motel
620,El Alto,PE,73.06,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
622,Alexandria,EG,77.54,clear sky,31.2156,29.9553,Royal Crown Hotel
623,Kumba,CM,72.21,light rain,4.6363,9.4469,El Bethel Hotel
624,Pelym,RU,63.43,broken clouds,61.0108,61.9978,Obshchezhitiye Pelymskogo Lpumg
625,Nanning,CN,79.25,overcast clouds,22.8167,108.3167,Nanning Travelling With Hostel
626,Kon Tum,VN,68.9,overcast clouds,14.35,108.0,Hoa đà spa- homestay
628,Sioux Lookout,CA,73.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
634,Toamasina,MG,64.4,few clouds,-18.1667,49.3833,Hotel H1
636,Sigli,ID,78.15,overcast clouds,5.3848,95.9609,Losmen Dua Mali
637,Patan,NP,73.78,moderate rain,27.6667,85.3333,Hotel Himalaya
638,Birjand,IR,73.87,clear sky,32.8663,59.2211,Birjand Tourist Hotel
640,Hailun,CN,63.45,broken clouds,47.45,126.9333,Wanhao Hotel
642,Dillingen,DE,70.83,broken clouds,49.35,6.7333,Victor's Residenz-Hotel Saarlouis
647,Chitral,PK,76.35,clear sky,35.8462,71.7858,PTDC Motel Chitral
649,Jiuquan,CN,76.37,overcast clouds,39.7432,98.5174,Jiuquan Hotel
651,Praia Da Vitoria,PT,74.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
654,Lujan,AR,67.01,clear sky,-34.5703,-59.105,Hotel Biarritz
655,Tikapur,NP,79.59,overcast clouds,28.5,81.1333,BANANA AGRO RESORT
656,Diego De Almagro,CL,71.01,clear sky,-26.3667,-70.05,hotel luna del desierto
657,Lima,PE,61.05,overcast clouds,-12.0432,-77.0282,Hotel Kamana
658,Susehri,TR,67.1,clear sky,40.1644,38.0867,Su Vadi Hotel
659,Knevichi,RU,77.02,mist,43.3992,132.1803,Kedr House Vladivostok
661,Riberalta,BO,75.4,moderate rain,-10.9833,-66.1,Hotel Colonial
667,Wajima,JP,77.77,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
672,Kirakira,SB,78.26,scattered clouds,-10.4544,161.9205,SanBiz Lodge
673,Quang Ngai,VN,76.26,overcast clouds,15.1167,108.8,Central Hotel
675,Mocuba,MZ,64.18,clear sky,-16.8392,36.9856,Phama Lodge
678,Mumias,KE,66.15,overcast clouds,0.3351,34.4864,Mumias Sugar Guesthouse
679,Malusac,PH,78.55,light rain,14.8587,120.6215,SAROMA
680,Prado,BR,75.0,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
681,Biak,ID,72.43,overcast clouds,-0.9131,122.8766,Penginapan Kim
684,Hay River,CA,64.38,broken clouds,60.8156,-115.7999,Ptarmigan Inn
686,Manokwari,ID,77.54,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
689,Sergeyevka,KZ,65.14,scattered clouds,53.88,67.4158,Amina
693,Kasane,BW,64.99,clear sky,-17.8167,25.15,The Old House
694,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
697,Tateyama,JP,73.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
699,Bermejo,AR,60.71,scattered clouds,-32.8833,-68.8,Hotel Mendoza
700,San Quintin,MX,76.71,clear sky,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
702,Waingapu,ID,70.16,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
707,Bamnet Narong,TH,73.81,overcast clouds,15.4992,101.6897,Jong Jaroen Resort
708,Catamarca,AR,66.78,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
